precio_decimal,titulo,precio,precio_entero,ventas
, Huawei P30 Lite 310 P30 Pro 960 Mate 20 Pro 760 ,"<span class=""price__fraction"">310</span>",310, 5575 vendidos - Pichincha ( Quito ) 
, Samsung Galaxy S8 Plus / S9 / S9 Plus / S10 / S10e ,"<span class=""price__fraction"">388</span>",388, 1220 vendidos - Guayas 
, Samsung Galaxy S10 E 680 S10 Normal 770 S10 Plus 870 ,"<span class=""price__fraction"">700</span>",700, 2183 vendidos - Pichincha ( Quito ) 
99," Samsung A10, A20 $180, A30 64gb $240, A50 64gb $305 Sellados ","<span class=""price__fraction"">149</span>",149, 6723 vendidos - Pichincha ( Quito ) 
, iPhone Xs 256gb $1339 Incluido Iva 2 Años Garantía ,"<span class=""price__fraction"">1.339</span>",1.339, 405 vendidos - Pichincha ( Quito ) 
, iPhone Xr 64gb / Xr 128gb 980 / iPhone Xs 64gb 1160 ,"<span class=""price__fraction"">890</span>",890, 762 vendidos - Pichincha ( Quito ) 
99," Xiaomi Note 7 64 Gb 48mp/redmi 7 64 Gb 184,99 / Note 7 128gb ","<span class=""price__fraction"">224</span>",224, 2320 vendidos 
, Samsung A30 32gb+32gb /a30 64gb+64gb 250/a20 32gb 180 ,"<span class=""price__fraction"">225</span>",225, 4992 vendidos - Pichincha ( Quito ) 
, Apple iPhone Xr 64gb ,"<span class=""price__fraction"">888</span>",888, 1048 vendidos - Guayas 
, iPhone Se 6 6s 5s 7 Plus 8 X Xs 16 32 64 128 E N _ C A J A ,"<span class=""price__fraction"">184</span>",184, 3468 vendidos 
, Samsung A10 32gb /a20 32gb $185/a30 32gb $225/a30 64gb ,"<span class=""price__fraction"">150</span>",150, 2775 vendidos - Pichincha ( Quito ) 
99, Xiaomi Redmi 6 64gb/ Redmi 7 64gb $184.99 /note 7 $265 ,"<span class=""price__fraction"">174</span>",174, 1448 vendidos 
